longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-119.57,36.44,30.0,1860.0,337.0,1123.0,347.0,3.4926,94200.0,0,1,0,0,0
-117.27,34.49,7.0,2344.0,351.0,846.0,314.0,4.7361,174500.0,0,1,0,0,0
-122.24,37.73,21.0,7031.0,1249.0,2930.0,1235.0,4.5213,228400.0,0,0,0,1,0
-118.09,33.81,36.0,1371.0,250.0,666.0,257.0,5.0795,243300.0,1,0,0,0,0
-121.62,36.63,52.0,1437.0,298.0,836.0,257.0,3.6286,165500.0,1,0,0,0,0
-118.35,34.06,48.0,1354.0,279.0,716.0,309.0,3.7167,385000.0,1,0,0,0,0
-117.31,32.98,17.0,2789.0,648.0,849.0,345.0,4.1012,244700.0,0,0,0,0,1
-121.24,38.22,28.0,2593.0,487.0,1365.0,457.0,3.3929,113000.0,0,1,0,0,0
-122.33,40.48,26.0,695.0,126.0,319.0,124.0,3.2788,101600.0,0,1,0,0,0
-122.03,37.37,30.0,1269.0,290.0,556.0,266.0,3.8125,325000.0,1,0,0,0,0
-117.22,33.31,12.0,2924.0,433.0,1193.0,394.0,6.2475,331300.0,1,0,0,0,0
-117.79,33.77,23.0,3596.0,451.0,1292.0,458.0,8.5403,451300.0,1,0,0,0,0
-117.14,32.75,20.0,1182.0,379.0,678.0,326.0,2.1937,162500.0,0,0,0,0,1
-118.3,34.03,47.0,2241.0,559.0,1775.0,504.0,2.1571,147900.0,1,0,0,0,0
-121.48,38.46,8.0,10505.0,1777.0,6002.0,1694.0,4.0516,121200.0,0,1,0,0,0
-117.31,33.94,7.0,11232.0,1791.0,4218.0,1644.0,5.2713,216500.0,0,1,0,0,0
-117.59,33.43,14.0,3223.0,484.0,1230.0,488.0,6.5964,358800.0,0,0,0,0,1
-117.9,34.01,27.0,2383.0,472.0,2079.0,494.0,3.9702,141400.0,1,0,0,0,0
-120.37,34.9,17.0,2649.0,386.0,1057.0,362.0,4.7813,326800.0,1,0,0,0,0
-118.29,34.1,39.0,2196.0,582.0,1165.0,538.0,2.9417,254200.0,1,0,0,0,0
-118.41,34.14,33.0,778.0,143.0,258.0,130.0,5.738,497600.0,1,0,0,0,0
-121.29,37.92,12.0,1096.0,240.0,1175.0,278.0,3.1053,73100.0,0,1,0,0,0
-118.21,33.92,41.0,1722.0,363.0,1432.0,326.0,3.2976,151200.0,1,0,0,0,0
-118.56,34.23,36.0,3215.0,529.0,1710.0,539.0,5.5126,248400.0,1,0,0,0,0
-121.35,38.66,8.0,3322.0,805.0,1694.0,774.0,2.7011,130700.0,0,1,0,0,0
-118.24,33.94,34.0,796.0,180.0,673.0,144.0,2.0769,88300.0,1,0,0,0,0
-119.28,37.11,34.0,1901.0,394.0,171.0,73.0,3.0729,144600.0,0,1,0,0,0
-118.3,33.96,43.0,2009.0,442.0,1095.0,439.0,2.8299,109500.0,1,0,0,0,0
-119.28,34.42,23.0,4763.0,828.0,2198.0,771.0,4.8105,313000.0,0,0,0,0,1
-119.63,34.44,37.0,3188.0,442.0,984.0,376.0,9.4522,500001.0,1,0,0,0,0
-118.32,34.1,43.0,1615.0,734.0,1460.0,644.0,1.4005,193800.0,1,0,0,0,0
-118.61,35.08,6.0,3660.0,646.0,1243.0,482.0,3.4911,137200.0,0,1,0,0,0
-121.83,37.36,22.0,3936.0,860.0,3508.0,877.0,4.2312,183800.0,1,0,0,0,0
-118.13,34.08,35.0,2517.0,662.0,1883.0,607.0,2.5787,223000.0,1,0,0,0,0
-118.38,33.83,40.0,3070.0,570.0,1264.0,506.0,5.1626,432700.0,1,0,0,0,0
-116.84,33.01,5.0,5673.0,855.0,2592.0,797.0,5.4155,199200.0,1,0,0,0,0
-117.93,33.84,34.0,2160.0,298.0,852.0,305.0,6.0531,287100.0,1,0,0,0,0
-118.0,34.08,29.0,2003.0,401.0,1520.0,364.0,3.994,195300.0,0,1,0,0,0
-117.13,32.76,27.0,2280.0,695.0,1235.0,664.0,1.9392,142900.0,0,0,0,0,1
-121.62,39.13,41.0,1317.0,309.0,856.0,337.0,1.6719,64100.0,0,1,0,0,0
-117.14,33.16,16.0,1660.0,,733.0,214.0,5.6874,202700.0,1,0,0,0,0
-122.2,37.47,40.0,2959.0,389.0,985.0,365.0,9.9025,500001.0,0,0,0,1,0
-118.82,34.14,22.0,11668.0,1730.0,4054.0,1671.0,6.9935,385500.0,0,0,0,0,1
-121.39,38.62,27.0,5693.0,1487.0,2334.0,1387.0,2.2844,170500.0,0,1,0,0,0
-122.02,36.97,39.0,2124.0,661.0,1365.0,606.0,1.6642,281300.0,0,0,0,0,1
-118.3,34.07,18.0,3759.0,,3296.0,1462.0,2.2708,175000.0,1,0,0,0,0
-122.03,37.34,25.0,5404.0,906.0,2338.0,883.0,6.0577,451800.0,1,0,0,0,0
-117.78,34.07,18.0,3610.0,772.0,2899.0,765.0,3.9784,113500.0,0,1,0,0,0
-122.36,37.92,52.0,215.0,41.0,126.0,43.0,1.3929,104200.0,0,0,0,1,0
-118.13,34.13,52.0,2826.0,381.0,924.0,365.0,7.9976,500001.0,1,0,0,0,0
-120.06,36.98,12.0,2710.0,575.0,1724.0,516.0,1.4712,60400.0,0,1,0,0,0
-120.82,37.54,20.0,707.0,114.0,282.0,86.0,6.1324,164800.0,0,1,0,0,0
-119.16,34.2,35.0,2183.0,636.0,3504.0,623.0,1.9704,160300.0,0,0,0,0,1
-117.64,34.07,52.0,1644.0,372.0,1269.0,355.0,2.6913,108300.0,0,1,0,0,0
-118.79,34.27,27.0,1146.0,189.0,595.0,197.0,4.5833,198500.0,1,0,0,0,0
-118.05,33.72,14.0,2673.0,687.0,1192.0,656.0,4.1862,188900.0,1,0,0,0,0
-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,0,0,0,1,0
-118.47,34.02,38.0,2163.0,651.0,1759.0,584.0,2.3382,297500.0,1,0,0,0,0
-122.0,38.03,4.0,2341.0,408.0,1235.0,431.0,6.0424,165900.0,0,1,0,0,0
-118.0,33.96,37.0,2414.0,323.0,878.0,305.0,9.1541,453800.0,1,0,0,0,0
-117.82,33.77,27.0,2578.0,314.0,976.0,340.0,7.1882,359200.0,1,0,0,0,0
-121.99,37.31,26.0,3285.0,502.0,1443.0,530.0,5.7833,339600.0,1,0,0,0,0
-117.8,33.63,15.0,3236.0,451.0,1289.0,416.0,11.1121,493000.0,1,0,0,0,0
-118.07,34.0,42.0,1392.0,351.0,1471.0,348.0,2.63,143800.0,1,0,0,0,0
-115.54,32.97,41.0,2429.0,454.0,1188.0,430.0,3.0091,70800.0,0,1,0,0,0
-121.82,37.69,12.0,1906.0,351.0,802.0,319.0,4.9375,227700.0,0,1,0,0,0
-117.94,33.82,34.0,1347.0,212.0,676.0,201.0,3.8828,215400.0,1,0,0,0,0
-117.23,33.78,23.0,3465.0,703.0,2672.0,607.0,1.9767,81500.0,0,1,0,0,0
-119.78,36.76,47.0,1425.0,323.0,949.0,325.0,1.7344,51300.0,0,1,0,0,0
-119.32,36.33,20.0,1896.0,266.0,674.0,277.0,9.0376,239100.0,0,1,0,0,0
-117.87,33.99,21.0,2837.0,515.0,2031.0,555.0,4.9271,209700.0,1,0,0,0,0
-122.33,41.86,19.0,3599.0,695.0,1572.0,601.0,2.234,58600.0,0,1,0,0,0
-117.93,33.94,28.0,3664.0,719.0,1820.0,657.0,4.225,224700.0,1,0,0,0,0
-118.03,33.82,20.0,2662.0,464.0,1275.0,472.0,6.0162,318500.0,1,0,0,0,0
-117.45,34.11,7.0,6356.0,1244.0,4052.0,1164.0,2.9112,121700.0,0,1,0,0,0
-119.12,36.19,21.0,2645.0,464.0,1245.0,407.0,2.9145,114200.0,0,1,0,0,0
-122.48,37.67,31.0,2609.0,433.0,1746.0,464.0,5.1054,294500.0,0,0,0,0,1
-121.03,37.62,46.0,2331.0,508.0,1210.0,484.0,2.5313,77700.0,0,1,0,0,0
-122.2,37.77,43.0,2430.0,502.0,1537.0,484.0,2.898,121400.0,0,0,0,1,0
-118.09,33.91,14.0,2369.0,604.0,1546.0,464.0,3.7969,159400.0,1,0,0,0,0
-118.16,34.19,44.0,2195.0,449.0,1377.0,417.0,3.5887,153500.0,1,0,0,0,0
-117.87,34.1,15.0,6409.0,1363.0,3359.0,1267.0,3.875,173300.0,1,0,0,0,0
-118.36,34.04,45.0,1767.0,417.0,1052.0,379.0,3.5161,157000.0,1,0,0,0,0
-119.73,34.42,23.0,1364.0,227.0,638.0,238.0,5.3279,413900.0,0,0,0,0,1
-122.22,38.11,43.0,1939.0,353.0,968.0,392.0,3.1848,112700.0,0,0,0,1,0
-117.97,33.76,28.0,1386.0,272.0,901.0,294.0,4.7464,187500.0,1,0,0,0,0
-117.22,32.83,31.0,2558.0,512.0,1164.0,492.0,3.4318,200400.0,0,0,0,0,1
-117.09,32.98,23.0,1125.0,273.0,687.0,308.0,2.3182,268800.0,1,0,0,0,0
-118.32,33.97,52.0,1590.0,302.0,844.0,295.0,2.7139,164900.0,1,0,0,0,0
-118.22,33.92,23.0,926.0,409.0,1856.0,408.0,2.1366,100000.0,1,0,0,0,0
-121.19,38.71,11.0,4415.0,,1520.0,627.0,3.2321,390800.0,0,1,0,0,0
-117.1,32.58,27.0,2616.0,591.0,1889.0,577.0,2.3824,127600.0,0,0,0,0,1
-120.86,37.73,27.0,508.0,93.0,263.0,81.0,3.1136,183300.0,0,1,0,0,0
-117.83,33.75,22.0,6433.0,1174.0,2703.0,1125.0,4.9957,296400.0,1,0,0,0,0
-120.99,37.69,25.0,2773.0,384.0,1060.0,381.0,6.4788,199400.0,0,1,0,0,0
-118.4,34.06,47.0,3652.0,967.0,1438.0,887.0,3.6964,500001.0,1,0,0,0,0
-118.07,34.08,37.0,1210.0,252.0,733.0,243.0,2.806,214600.0,1,0,0,0,0
-118.1,33.84,36.0,2572.0,421.0,1318.0,434.0,5.1836,219700.0,1,0,0,0,0
-118.15,34.07,52.0,1983.0,344.0,887.0,331.0,3.2875,234400.0,1,0,0,0,0
-118.23,34.14,33.0,2865.0,864.0,2061.0,790.0,2.6268,201300.0,1,0,0,0,0
-117.28,32.83,34.0,2392.0,653.0,933.0,619.0,3.7306,500000.0,0,0,0,0,1
-119.46,35.86,22.0,1750.0,374.0,1113.0,338.0,1.505,42700.0,0,1,0,0,0
-118.6,34.19,16.0,14912.0,4183.0,5105.0,3302.0,2.8312,213900.0,1,0,0,0,0
-118.47,34.01,44.0,2175.0,475.0,1019.0,448.0,4.793,470800.0,1,0,0,0,0
-118.27,34.02,21.0,1314.0,375.0,1505.0,366.0,2.319,97200.0,1,0,0,0,0
-122.04,37.3,25.0,2366.0,417.0,1076.0,398.0,6.9238,345900.0,1,0,0,0,0
-121.5,38.57,45.0,858.0,254.0,510.0,200.0,1.0114,80000.0,0,1,0,0,0
-121.3,38.65,36.0,1665.0,293.0,846.0,306.0,3.5852,121600.0,0,1,0,0,0
-117.3,34.05,6.0,2155.0,,1039.0,391.0,1.6675,95800.0,0,1,0,0,0
-122.26,37.51,29.0,3703.0,1075.0,1611.0,1025.0,2.7075,323800.0,0,0,0,0,1
-120.96,37.67,17.0,2434.0,511.0,1558.0,546.0,2.9219,114300.0,0,1,0,0,0
-117.02,32.8,27.0,2369.0,370.0,927.0,374.0,4.1162,177200.0,1,0,0,0,0
-118.08,33.97,36.0,1678.0,323.0,1380.0,352.0,3.5481,163300.0,1,0,0,0,0
-118.26,34.08,52.0,984.0,276.0,994.0,260.0,2.3816,166700.0,1,0,0,0,0
-121.79,38.01,17.0,4032.0,814.0,1749.0,618.0,3.1728,146800.0,0,1,0,0,0
-118.68,34.27,26.0,1561.0,212.0,817.0,242.0,5.477,209100.0,1,0,0,0,0
-122.48,37.86,52.0,3914.0,752.0,1177.0,670.0,6.2113,500001.0,0,0,0,1,0
-118.98,35.35,21.0,496.0,131.0,511.0,124.0,1.7614,33200.0,0,1,0,0,0
-117.06,32.55,5.0,3223.0,940.0,3284.0,854.0,1.4384,108800.0,0,0,0,0,1
-121.83,37.29,20.0,2308.0,461.0,2223.0,456.0,4.2589,191000.0,1,0,0,0,0
-121.23,40.29,21.0,3229.0,667.0,1501.0,582.0,2.1524,77100.0,0,1,0,0,0
-121.43,37.75,42.0,1207.0,278.0,699.0,279.0,3.3611,117600.0,0,1,0,0,0
-122.03,37.25,34.0,2892.0,413.0,903.0,365.0,7.8711,500001.0,1,0,0,0,0
-117.0,32.76,31.0,1989.0,280.0,805.0,301.0,6.5645,189100.0,1,0,0,0,0
-123.79,39.44,36.0,1330.0,273.0,761.0,286.0,2.7813,105800.0,1,0,0,0,0
-121.92,36.61,27.0,1619.0,352.0,831.0,344.0,4.3,226400.0,0,0,0,0,1
-122.03,37.56,24.0,8444.0,1492.0,4446.0,1491.0,4.6978,240300.0,0,0,0,1,0
-121.94,36.97,31.0,1738.0,422.0,746.0,355.0,2.5172,330800.0,0,0,0,0,1
-117.97,33.93,33.0,1700.0,369.0,981.0,362.0,4.5461,194000.0,1,0,0,0,0
-122.08,38.3,2.0,6718.0,858.0,2012.0,654.0,6.8872,305200.0,0,1,0,0,0
-117.27,34.23,26.0,6339.0,1244.0,1177.0,466.0,3.7708,110400.0,0,1,0,0,0
-116.98,32.74,16.0,3361.0,537.0,1754.0,578.0,5.1098,162300.0,1,0,0,0,0
-118.95,35.36,30.0,2294.0,508.0,1753.0,482.0,2.1078,54700.0,0,1,0,0,0
-122.47,37.76,48.0,2464.0,459.0,1179.0,458.0,4.4946,358600.0,0,0,0,1,0
-119.18,34.27,6.0,2307.0,386.0,910.0,364.0,5.215,279500.0,0,0,0,0,1
-121.49,38.5,30.0,1715.0,271.0,842.0,263.0,3.0313,87900.0,0,1,0,0,0
-116.95,33.73,21.0,4587.0,810.0,2233.0,765.0,3.2371,94500.0,0,1,0,0,0
-118.58,34.21,27.0,2209.0,353.0,1034.0,344.0,4.7125,250900.0,1,0,0,0,0
-120.35,37.04,37.0,1495.0,292.0,858.0,275.0,2.9306,46300.0,0,1,0,0,0
-117.89,34.01,23.0,4535.0,955.0,3881.0,930.0,3.6275,154100.0,1,0,0,0,0
-117.13,32.77,30.0,2582.0,650.0,1098.0,603.0,2.8281,171700.0,0,0,0,0,1
-118.14,34.16,39.0,2776.0,840.0,2546.0,773.0,2.575,153500.0,1,0,0,0,0
-117.95,34.06,32.0,2252.0,415.0,1370.0,411.0,4.6312,184800.0,1,0,0,0,0
-118.46,34.19,35.0,1491.0,295.0,779.0,309.0,6.1142,256300.0,1,0,0,0,0
-122.72,38.44,48.0,707.0,166.0,458.0,172.0,3.1797,140400.0,1,0,0,0,0
-117.65,34.08,40.0,1609.0,258.0,624.0,242.0,5.4689,158200.0,0,1,0,0,0
-121.8,38.55,11.0,5121.0,899.0,2258.0,901.0,4.7168,223200.0,0,1,0,0,0
-120.05,36.98,16.0,3705.0,739.0,2463.0,697.0,2.5288,61800.0,0,1,0,0,0
-121.8,36.68,18.0,8581.0,1957.0,6071.0,1889.0,3.0,162200.0,1,0,0,0,0
-122.27,38.12,42.0,5266.0,1167.0,3124.0,1025.0,2.7375,120000.0,0,0,0,1,0
-120.51,39.52,26.0,2286.0,444.0,498.0,216.0,2.065,96100.0,0,1,0,0,0
-122.4,37.72,37.0,971.0,248.0,647.0,208.0,2.1187,239300.0,0,0,0,1,0
-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,362800.0,0,0,0,1,0
-118.32,34.03,47.0,1734.0,453.0,1272.0,438.0,3.1731,121500.0,1,0,0,0,0
-118.24,34.07,27.0,223.0,80.0,249.0,82.0,1.6136,137500.0,1,0,0,0,0
-117.0,32.87,18.0,11544.0,1979.0,6296.0,1923.0,4.4904,150400.0,1,0,0,0,0
-117.67,34.13,10.0,2846.0,362.0,1221.0,355.0,7.7234,304100.0,0,1,0,0,0
-121.98,37.26,27.0,2331.0,461.0,1178.0,447.0,4.6654,340700.0,1,0,0,0,0
-118.32,34.09,34.0,2473.0,1171.0,2655.0,1083.0,1.6331,162500.0,1,0,0,0,0
-122.23,37.81,52.0,2814.0,365.0,878.0,352.0,7.508,348700.0,0,0,0,1,0
-119.84,36.54,19.0,1310.0,241.0,702.0,217.0,2.4375,78200.0,0,1,0,0,0
-122.14,38.16,4.0,3273.0,495.0,1497.0,454.0,5.3345,176100.0,0,0,0,1,0
-120.84,37.53,14.0,3643.0,706.0,2070.0,697.0,3.1523,141800.0,0,1,0,0,0
-118.34,33.99,48.0,2225.0,433.0,1170.0,401.0,2.9643,140400.0,1,0,0,0,0
-122.41,37.74,52.0,831.0,175.0,415.0,159.0,1.9464,249000.0,0,0,0,1,0
-118.53,34.45,10.0,5509.0,969.0,3002.0,959.0,5.5981,220100.0,1,0,0,0,0
-117.43,33.93,15.0,4836.0,1368.0,3012.0,1240.0,2.1865,129300.0,0,1,0,0,0
-121.84,37.35,22.0,2914.0,768.0,2962.0,762.0,2.2031,164000.0,1,0,0,0,0
-118.1,33.82,36.0,1946.0,346.0,871.0,336.0,5.2155,254800.0,1,0,0,0,0
-119.3,34.42,18.0,5591.0,1042.0,2860.0,1026.0,3.5822,219900.0,0,0,0,0,1
-118.99,37.63,10.0,7744.0,1573.0,483.0,224.0,3.2917,231800.0,0,1,0,0,0
-117.38,33.21,31.0,1502.0,367.0,1514.0,342.0,2.6442,103300.0,0,0,0,0,1
-118.15,34.09,52.0,2203.0,430.0,1238.0,403.0,4.4306,225800.0,1,0,0,0,0
-118.45,34.04,21.0,2819.0,648.0,1435.0,593.0,3.9489,360200.0,1,0,0,0,0
-117.93,34.08,36.0,1788.0,317.0,1139.0,320.0,4.125,185800.0,1,0,0,0,0
-122.0,37.23,36.0,3191.0,430.0,1234.0,440.0,9.0704,500001.0,1,0,0,0,0
-115.37,32.81,23.0,1458.0,294.0,866.0,275.0,2.3594,74300.0,0,1,0,0,0
-117.76,33.81,2.0,582.0,70.0,199.0,64.0,7.1193,500001.0,1,0,0,0,0
-121.46,38.64,20.0,1517.0,323.0,1287.0,328.0,1.6607,67000.0,0,1,0,0,0
-118.06,33.86,16.0,5603.0,938.0,3045.0,893.0,5.0778,293700.0,1,0,0,0,0
-119.31,36.31,18.0,3860.0,760.0,1643.0,664.0,2.0714,92600.0,0,1,0,0,0
-118.5,34.16,34.0,3547.0,523.0,1187.0,500.0,7.139,424000.0,1,0,0,0,0
-118.2,33.93,38.0,1626.0,307.0,1280.0,295.0,3.5313,146500.0,1,0,0,0,0
-121.42,38.5,24.0,7740.0,1539.0,4333.0,1397.0,3.025,87900.0,0,1,0,0,0
-122.55,38.03,29.0,7174.0,1169.0,3063.0,1172.0,6.0902,293200.0,0,0,0,1,0
-117.14,33.15,17.0,1149.0,182.0,702.0,192.0,5.5696,168400.0,1,0,0,0,0
-118.49,34.16,37.0,3333.0,488.0,1171.0,485.0,6.4958,500001.0,1,0,0,0,0
-122.25,38.1,52.0,2315.0,556.0,1113.0,486.0,2.5042,147900.0,0,0,0,1,0
-121.62,39.79,11.0,3835.0,727.0,1456.0,658.0,2.5374,97200.0,0,1,0,0,0
-119.36,36.22,10.0,2445.0,526.0,1262.0,476.0,1.9355,68300.0,0,1,0,0,0
-117.85,33.85,17.0,4678.0,1065.0,2427.0,1020.0,4.2276,254100.0,1,0,0,0,0
-118.06,35.68,15.0,1962.0,403.0,730.0,321.0,2.25,67500.0,0,1,0,0,0
-119.0,36.06,41.0,937.0,158.0,396.0,142.0,4.0833,81300.0,0,1,0,0,0
-119.74,36.65,19.0,2546.0,463.0,1257.0,418.0,2.9013,89500.0,0,1,0,0,0
-122.25,38.1,52.0,248.0,86.0,173.0,69.0,2.3,109400.0,0,0,0,1,0
-117.81,33.66,20.0,2851.0,490.0,1192.0,463.0,5.8752,274200.0,1,0,0,0,0
-121.99,38.15,36.0,263.0,73.0,88.0,42.0,2.5313,162500.0,0,1,0,0,0
-118.16,34.19,40.0,1840.0,358.0,1218.0,347.0,4.25,177900.0,1,0,0,0,0
-121.91,37.68,18.0,3631.0,547.0,1700.0,520.0,5.817,257300.0,1,0,0,0,0
-121.71,39.42,21.0,1432.0,284.0,862.0,275.0,2.2813,57600.0,0,1,0,0,0
-123.2,39.14,17.0,1620.0,396.0,878.0,399.0,1.8042,109200.0,1,0,0,0,0
-118.01,34.1,35.0,2120.0,412.0,1375.0,405.0,3.4609,166300.0,0,1,0,0,0
-118.35,33.91,25.0,1884.0,554.0,1337.0,549.0,2.8512,272800.0,1,0,0,0,0
-122.29,37.51,35.0,3040.0,520.0,1374.0,518.0,6.1004,426400.0,0,0,0,0,1
-117.9,33.7,12.0,4695.0,1110.0,2153.0,989.0,4.6483,190800.0,1,0,0,0,0
-121.21,37.81,12.0,3667.0,640.0,2173.0,652.0,5.0369,163900.0,0,1,0,0,0
-117.08,32.64,38.0,917.0,256.0,494.0,233.0,1.9241,150000.0,0,0,0,0,1
-117.24,34.04,4.0,4289.0,682.0,1981.0,705.0,5.3366,165100.0,0,1,0,0,0
-121.95,37.32,20.0,1145.0,198.0,431.0,173.0,3.1103,281900.0,1,0,0,0,0
-122.06,37.32,30.0,3033.0,540.0,1440.0,507.0,6.2182,380800.0,1,0,0,0,0
-121.81,37.24,21.0,3250.0,610.0,1978.0,568.0,4.5,234400.0,1,0,0,0,0
-118.18,34.17,43.0,4269.0,591.0,1467.0,582.0,9.0702,500001.0,1,0,0,0,0
-117.42,33.94,26.0,2420.0,532.0,1383.0,469.0,3.5403,113500.0,0,1,0,0,0
-120.65,35.27,27.0,2034.0,341.0,768.0,316.0,4.2411,258900.0,0,0,0,0,1
-121.76,36.92,20.0,2687.0,637.0,2154.0,610.0,2.6434,169700.0,1,0,0,0,0
-118.39,34.05,35.0,2458.0,576.0,1047.0,554.0,4.0283,412500.0,1,0,0,0,0
-122.48,38.31,19.0,2398.0,521.0,1266.0,471.0,2.7727,186800.0,1,0,0,0,0
-117.9,33.66,22.0,3568.0,938.0,1952.0,938.0,3.1667,161000.0,1,0,0,0,0
-119.02,34.26,40.0,1498.0,292.0,707.0,249.0,3.7974,228700.0,1,0,0,0,0
-117.24,33.19,19.0,1569.0,351.0,1035.0,352.0,2.9191,159400.0,1,0,0,0,0
-119.29,36.55,21.0,2467.0,520.0,1721.0,515.0,2.5521,65600.0,0,1,0,0,0
-118.52,34.23,35.0,1471.0,210.0,735.0,219.0,8.3841,472200.0,1,0,0,0,0
-118.95,35.32,29.0,3480.0,608.0,2007.0,541.0,3.2738,78700.0,0,1,0,0,0
-119.95,38.95,8.0,430.0,107.0,36.0,18.0,2.625,187500.0,0,1,0,0,0
-118.52,34.19,37.0,1560.0,275.0,763.0,284.0,3.8516,206900.0,1,0,0,0,0
-121.2,37.8,37.0,311.0,61.0,171.0,54.0,4.0972,101800.0,0,1,0,0,0
-117.77,34.06,27.0,2178.0,629.0,2379.0,591.0,1.9766,108000.0,0,1,0,0,0
-118.18,33.79,27.0,1580.0,510.0,1896.0,448.0,2.0186,130000.0,0,0,0,0,1
-122.24,37.81,52.0,2485.0,313.0,953.0,327.0,6.8591,352400.0,0,0,0,1,0
-121.33,38.61,21.0,2453.0,518.0,1326.0,505.0,2.7079,148000.0,0,1,0,0,0
-117.29,34.15,49.0,1820.0,321.0,757.0,324.0,3.2976,102600.0,0,1,0,0,0
-118.39,34.04,45.0,2089.0,312.0,834.0,305.0,7.3028,500001.0,1,0,0,0,0
-117.13,34.17,17.0,1181.0,271.0,248.0,114.0,5.5762,150000.0,0,1,0,0,0
-121.86,37.4,16.0,2391.0,369.0,1419.0,373.0,5.8721,267800.0,1,0,0,0,0
-118.15,34.04,39.0,1099.0,263.0,787.0,269.0,3.7794,194600.0,1,0,0,0,0
-118.01,34.08,30.0,2281.0,522.0,1969.0,500.0,3.6531,166300.0,0,1,0,0,0
-121.77,37.67,20.0,8068.0,1217.0,3489.0,1259.0,5.7907,264200.0,0,1,0,0,0
-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,219700.0,1,0,0,0,0
-117.17,34.12,3.0,15695.0,2248.0,6080.0,1920.0,6.2178,173900.0,0,1,0,0,0
-121.43,37.74,40.0,859.0,196.0,427.0,176.0,3.5789,110400.0,0,1,0,0,0
-118.27,33.86,33.0,1685.0,333.0,1484.0,318.0,4.3527,167000.0,1,0,0,0,0
-118.25,33.92,36.0,949.0,164.0,502.0,163.0,4.1042,124400.0,1,0,0,0,0
-122.41,37.62,49.0,1464.0,302.0,636.0,259.0,4.25,284100.0,0,0,0,0,1
-122.66,38.45,26.0,2081.0,339.0,906.0,323.0,4.4375,293500.0,1,0,0,0,0
-117.94,33.94,25.0,3250.0,546.0,1452.0,501.0,5.1084,303800.0,1,0,0,0,0
-118.35,34.03,43.0,2122.0,524.0,1510.0,436.0,2.2273,123300.0,1,0,0,0,0
-119.06,34.23,23.0,3471.0,510.0,2002.0,555.0,5.2742,257500.0,1,0,0,0,0
-122.4,37.71,40.0,1883.0,397.0,1411.0,438.0,3.0469,238000.0,0,0,0,1,0
-118.53,34.38,18.0,2288.0,607.0,2305.0,597.0,3.227,136100.0,1,0,0,0,0
-121.88,37.35,49.0,1728.0,350.0,1146.0,391.0,3.5781,193000.0,1,0,0,0,0
-121.46,38.65,14.0,3167.0,551.0,1787.0,533.0,3.8125,92600.0,0,1,0,0,0
-119.25,35.77,35.0,1618.0,378.0,1449.0,398.0,1.6786,56500.0,0,1,0,0,0
-118.1,34.12,49.0,3783.0,579.0,1601.0,539.0,6.3013,500001.0,1,0,0,0,0
